sex	outcome	geno	or1	lci1	uci1	p1	n1	n1cases	or2	lci2	uci2	p2	n2	n2cases	n2bottom	n2bottomcases	n2bottomcasesperc	n2top	n2topcases	n2topcasesperc	X	Y
All	Haemochromatosis	All participants	1.18167737435763	1.12228011525116	1.24421826431118	2.23409276371962e-10	451331	1474	1.68589230795645	1.42479327285073	1.99483877990243	1.17420208323967e-09	180522	586	90266	216	0.239292756962755	90256	370	0.409945045204751	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
All	Haemochromatosis	C282Y heterozygous	1.2176464597307	1.09458367435388	1.35454505272965	0.000291760477666831	64433	347	1.77064566965956	1.24209804226636	2.52410516786873	0.00158563728445217	25772	134	12887	48	0.372468378986576	12885	86	0.6674427629026	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
All	Haemochromatosis	C282Y homozygous	1.32688245081278	1.21736216341792	1.44625575788536	1.2344737749443e-10	2890	771	2.42288822656975	1.83126808390299	3.20564062140958	5.79925822989679e-10	1156	302	578	104	17.9930795847751	578	198	34.2560553633218	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
All	Haemochromatosis	H63D heterozygous	1.14274362977362	1.02467637851603	1.27441505510196	0.0164797466465075	115738	330	1.70909574092222	1.20296938823933	2.42816507235789	0.00277711718982093	46283	136	23147	49	0.211690499848792	23136	87	0.37603734439834	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
All	Haemochromatosis	H63D homozygous	1.40445669665802	1.05333014045097	1.87263094165619	0.0206693367248698	10258	50	1.90433760683539	0.755235737684629	4.80181424137252	0.172229338614997	4104	20	2052	7	0.341130604288499	2052	13	0.633528265107212	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
All	Haemochromatosis	C282Y/H63D compound heterozygous	1.16511197218381	1.01197049521665	1.34142834612527	0.03354434518713	10699	205	1.66372601173687	1.04248576757713	2.65517700885548	0.0328051255463213	4276	78	2136	29	1.35767790262172	2140	49	2.28971962616822	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
All	Haemochromatosis	HFE wild-type (no C282Y or H63D)	0.975162565118191	0.843121367594999	1.12788272834367	0.734744800643619	268555	181	0.94741061411949	0.610875884801078	1.46934409112999	0.809335568297964	107422	80	53711	41	0.0763344566289959	53711	39	0.0726108245983132	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	All participants	1.06464636392065	1.02275445547281	1.10825416026711	0.00222419914058493	451331	2409	1.22671972780855	1.07887884309427	1.39481953903066	0.00181621522757924	180522	949	90266	424	0.469722819223185	90256	525	0.581678780358093	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	C282Y heterozygous	1.05276827301043	0.949532969108743	1.16722754524013	0.328785147333973	64433	363	1.23506115648853	0.891893356625335	1.71026731944542	0.203675598497135	25772	148	12887	66	0.512144021106541	12885	82	0.63639891346527	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	C282Y homozygous	1.47496717724231	1.16210818408537	1.87205305300763	0.00139753420202135	2890	78	3.21796445571647	1.3390252703876	7.73345766301863	0.00898558276909776	1156	29	578	7	1.21107266435986	578	22	3.80622837370242	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	H63D heterozygous	1.05767426112123	0.976545355131865	1.1455431504124	0.168479788736994	115738	611	1.30344818164948	0.998963925662126	1.70073925454239	0.0508950940752036	46283	223	23147	96	0.414740571132328	23136	127	0.548928077455048	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	H63D homozygous	1.17529054920222	0.901297769289069	1.53257660465932	0.233007745111188	10258	56	1.41648920461218	0.624563934919238	3.21254807490972	0.404633982524774	4104	24	2052	10	0.487329434697856	2052	14	0.682261208576998	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	C282Y/H63D compound heterozygous	0.927318331630307	0.726230407833824	1.18408604060322	0.545128662656422	10699	65	1.12784099024684	0.461691898834584	2.7551388761463	0.791777156872174	4276	20	2136	9	0.421348314606742	2140	11	0.514018691588785	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
All	Liver fibrosis/cirrhosis	HFE wild-type (no C282Y or H63D)	1.04135987931061	0.987359347406439	1.09831380144052	0.135764284105491	268555	1366	1.1354832776034	0.95935347659496	1.34394913363234	0.139548357491162	107422	547	53711	255	0.474763083912048	53711	292	0.543650276479678	iron21hunt_nohfe_grs_20	liverfibcir_ever_2021v2_bin
Males	Haemochromatosis	All participants	1.18347625033345	1.10705082532442	1.26517771638251	7.57761717632975e-07	206412	881	1.69354070233139	1.36562570781539	2.10019487333846	1.60262952838915e-06	82566	359	41283	132	0.319744204636291	41283	227	0.549863139791197	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
Males	Haemochromatosis	C282Y heterozygous	1.23941448963982	1.0837885361508	1.41738745695257	0.00171636034681429	29531	221	1.7215459122936	1.10268273882988	2.68773621257531	0.0168455571831778	11812	84	5906	31	0.524889942431426	5906	53	0.89739248222147	iron21hunt_nohfe_grs_20	hh_ever_2021v2_bin
